标题,链接,区域,小区,位置,户型,面积,朝向,楼层,总价(万),单价,标签,来源,房源信息,爬取时间,单价_数值,每平米价格(万),价格区间
马岭社区 2室2厅 50平米,https://example.com/house/270674,天涯区,马岭社区,天涯区-马岭社区,2室2厅,50,西,13层/中层,87.5,17502元/平米,海景房|满五唯一|学区房,58同城,2室2厅 | 50平米 | 西南,2026-04-03 12:10:34,17502.0,1.75,50-100万
天涯海角花园 4室2厅 57平米,https://example.com/house/770720,天涯区,天涯海角花园,天涯区-天涯海角花园,4室2厅,57,北,5层/高层,98.2,17233元/平米,近海|精装修,安居客,4室2厅 | 57平米 | 西北,2026-04-03 12:10:34,17233.0,1.72,50-100万
马岭社区 2室1厅 59平米,https://example.com/house/954168,天涯区,马岭社区,天涯区-马岭社区,2室1厅,59,西南,29层/低层,102.6,17398元/平米,学区房|近海,链家,2室1厅 | 59平米 | 西,2026-04-03 12:10:34,17398.0,1.74,100-150万
三亚湾红树林 1室1厅 59平米,https://example.com/house/726171,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,1室1厅,59,南北,24层/中层,104.0,17631元/平米,满五唯一|学区房|花园小区,58同城,1室1厅 | 59平米 | 西北,2026-04-03 12:10:34,17631.0,1.76,100-150万
吉阳小区 1室1厅 55平米,https://example.com/house/597348,吉阳区,吉阳小区,吉阳区-吉阳小区,1室1厅,55,南北,8层/中层,118.4,21524元/平米,海景房|近海,链家,1室1厅 | 55平米 | 东南,2026-04-03 12:10:34,21524.0,2.15,100-150万
三亚湾红树林 4室2厅 69平米,https://example.com/house/635103,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,4室2厅,69,东北,27层/高层,131.8,19107元/平米,学区房,贝壳,4室2厅 | 69平米 | 南北,2026-04-03 12:10:34,19107.0,1.91,100-150万
三亚湾花园 1室1厅 52平米,https://example.com/house/596184,天涯区,三亚湾花园,天涯区-三亚湾花园,1室1厅,52,南北,6层/高层,134.4,25841元/平米,满五唯一|学区房,58同城,1室1厅 | 52平米 | 西,2026-04-03 12:10:34,25841.0,2.58,100-150万
马岭社区 3室1厅 58平米,https://example.com/house/877679,天涯区,马岭社区,天涯区-马岭社区,3室1厅,58,西,13层/低层,135.5,23360元/平米,海景房|学区房|精装修,58同城,3室1厅 | 58平米 | 西南,2026-04-03 12:10:34,23360.0,2.34,100-150万
三亚湾红树林 3室2厅 68平米,https://example.com/house/529962,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,3室2厅,68,东,3层/低层,139.8,20560元/平米,地铁房|花园小区,链家,3室2厅 | 68平米 | 东南,2026-04-03 12:10:34,20560.0,2.06,100-150万
海棠湾一号 3室1厅 52平米,https://example.com/house/240550,吉阳区,海棠湾一号,吉阳区-海棠湾一号,3室1厅,52,西,24层/高层,151.0,29039元/平米,地铁房|海景房,贝壳,3室1厅 | 52平米 | 南北,2026-04-03 12:10:34,29039.0,2.9,150-200万
三亚国际免税城 1室1厅 100平米,https://example.com/house/567035,吉阳区,三亚国际免税城,吉阳区-三亚国际免税城,1室1厅,100,东,8层/中层,162.8,16277元/平米,地铁房,贝壳,1室1厅 | 100平米 | 东,2026-04-03 12:10:34,16277.0,1.63,150-200万
三亚湾花园 3室1厅 56平米,https://example.com/house/352708,天涯区,三亚湾花园,天涯区-三亚湾花园,3室1厅,56,东南,13层/高层,168.2,30031元/平米,满五唯一|地铁房|精装修,链家,3室1厅 | 56平米 | 西,2026-04-03 12:10:34,30031.0,3.0,150-200万
三亚湾红树林 3室1厅 86平米,https://example.com/house/113102,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,3室1厅,86,东,10层/高层,180.5,20988元/平米,精装修,链家,3室1厅 | 86平米 | 东南,2026-04-03 12:10:34,20988.0,2.1,150-200万
天涯小镇 1室1厅 80平米,https://example.com/house/968436,天涯区,天涯小镇,天涯区-天涯小镇,1室1厅,80,西南,8层/高层,183.9,22983元/平米,精装修|急售,58同城,1室1厅 | 80平米 | 南,2026-04-03 12:10:34,22983.0,2.3,150-200万
吉阳小区 3室1厅 60平米,https://example.com/house/178339,吉阳区,吉阳小区,吉阳区-吉阳小区,3室1厅,60,西南,28层/低层,192.1,32010元/平米,海景房|满五唯一,58同城,3室1厅 | 60平米 | 东北,2026-04-03 12:10:34,32010.0,3.2,150-200万
马岭社区 4室2厅 74平米,https://example.com/house/889462,天涯区,马岭社区,天涯区-马岭社区,4室2厅,74,南,21层/低层,194.0,26213元/平米,学区房,链家,4室2厅 | 74平米 | 东南,2026-04-03 12:10:34,26213.0,2.62,150-200万
天涯小镇 1室1厅 123平米,https://example.com/house/179043,天涯区,天涯小镇,天涯区-天涯小镇,1室1厅,123,西,25层/高层,195.8,15921元/平米,花园小区|地铁房|急售,安居客,1室1厅 | 123平米 | 北,2026-04-03 12:10:34,15921.0,1.59,150-200万
