标题,链接,区域,小区,位置,户型,面积,朝向,楼层,总价(万),单价,标签,来源,房源信息,爬取时间,单价_数值,每平米价格(万),价格区间
天涯小镇 2室1厅 57平米,https://example.com/house/850040,天涯区,天涯小镇,天涯区-天涯小镇,2室1厅,57,北,8层/高层,88.1,15452元/平米,近海,安居客,2室1厅 | 57平米 | 东南,2026-04-03 12:09:49,15452.0,1.55,50-100万
马岭社区 3室2厅 64平米,https://example.com/house/321397,天涯区,马岭社区,天涯区-马岭社区,3室2厅,64,南北,15层/中层,96.2,15037元/平米,精装修|学区房|近海,58同城,3室2厅 | 64平米 | 南,2026-04-03 12:09:49,15037.0,1.5,50-100万
海棠湾一号 4室2厅 56平米,https://example.com/house/878294,吉阳区,海棠湾一号,吉阳区-海棠湾一号,4室2厅,56,东北,12层/中层,99.6,17792元/平米,地铁房|精装修|学区房,贝壳,4室2厅 | 56平米 | 西南,2026-04-03 12:09:49,17792.0,1.78,50-100万
天涯小镇 3室1厅 61平米,https://example.com/house/279121,天涯区,天涯小镇,天涯区-天涯小镇,3室1厅,61,南北,29层/中层,100.6,16486元/平米,满五唯一,贝壳,3室1厅 | 61平米 | 东南,2026-04-03 12:09:49,16486.0,1.65,100-150万
马岭社区 3室1厅 54平米,https://example.com/house/391607,天涯区,马岭社区,天涯区-马岭社区,3室1厅,54,南北,1层/高层,114.5,21210元/平米,学区房|急售|满五唯一,安居客,3室1厅 | 54平米 | 南,2026-04-03 12:09:49,21210.0,2.12,100-150万
三亚湾红树林 2室1厅 59平米,https://example.com/house/495342,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,2室1厅,59,西,2层/中层,117.0,19831元/平米,精装修,贝壳,2室1厅 | 59平米 | 东,2026-04-03 12:09:49,19831.0,1.98,100-150万
三亚国际免税城 3室2厅 63平米,https://example.com/house/361778,吉阳区,三亚国际免税城,吉阳区-三亚国际免税城,3室2厅,63,西南,29层/中层,117.0,18575元/平米,海景房|花园小区,58同城,3室2厅 | 63平米 | 东,2026-04-03 12:09:49,18575.0,1.86,100-150万
吉阳小区 1室1厅 78平米,https://example.com/house/842589,吉阳区,吉阳小区,吉阳区-吉阳小区,1室1厅,78,西,3层/高层,117.6,15076元/平米,急售|精装修|满五唯一,安居客,1室1厅 | 78平米 | 南,2026-04-03 12:09:49,15076.0,1.51,100-150万
三亚湾花园 3室1厅 51平米,https://example.com/house/521984,天涯区,三亚湾花园,天涯区-三亚湾花园,3室1厅,51,南,18层/高层,121.3,23783元/平米,近海,58同城,3室1厅 | 51平米 | 西,2026-04-03 12:09:49,23783.0,2.38,100-150万
三亚湾花园 1室1厅 68平米,https://example.com/house/761726,天涯区,三亚湾花园,天涯区-三亚湾花园,1室1厅,68,西北,17层/中层,123.8,18202元/平米,近海|海景房,链家,1室1厅 | 68平米 | 东,2026-04-03 12:09:49,18202.0,1.82,100-150万
西岛渔村 4室2厅 79平米,https://example.com/house/942345,天涯区,西岛渔村,天涯区-西岛渔村,4室2厅,79,西,28层/低层,124.6,15767元/平米,精装修,贝壳,4室2厅 | 79平米 | 西,2026-04-03 12:09:49,15767.0,1.58,100-150万
吉阳小区 2室1厅 56平米,https://example.com/house/302851,吉阳区,吉阳小区,吉阳区-吉阳小区,2室1厅,56,北,26层/高层,126.1,22518元/平米,学区房|近海,链家,2室1厅 | 56平米 | 东北,2026-04-03 12:09:49,22518.0,2.25,100-150万
吉阳小区 4室2厅 73平米,https://example.com/house/399890,吉阳区,吉阳小区,吉阳区-吉阳小区,4室2厅,73,西,10层/中层,127.6,17478元/平米,精装修|学区房,贝壳,4室2厅 | 73平米 | 南,2026-04-03 12:09:49,17478.0,1.75,100-150万
三亚湾花园 3室1厅 64平米,https://example.com/house/972517,天涯区,三亚湾花园,天涯区-三亚湾花园,3室1厅,64,东,2层/高层,136.3,21302元/平米,学区房|急售|近海,链家,3室1厅 | 64平米 | 东北,2026-04-03 12:09:49,21302.0,2.13,100-150万
三亚国际免税城 2室2厅 60平米,https://example.com/house/312040,吉阳区,三亚国际免税城,吉阳区-三亚国际免税城,2室2厅,60,南北,15层/低层,137.7,22949元/平米,急售|精装修,58同城,2室2厅 | 60平米 | 东北,2026-04-03 12:09:49,22949.0,2.29,100-150万
天涯小镇 2室1厅 62平米,https://example.com/house/680744,天涯区,天涯小镇,天涯区-天涯小镇,2室1厅,62,东,21层/高层,140.9,22721元/平米,满五唯一|花园小区,链家,2室1厅 | 62平米 | 东,2026-04-03 12:09:49,22721.0,2.27,100-150万
西岛渔村 2室1厅 76平米,https://example.com/house/580944,天涯区,西岛渔村,天涯区-西岛渔村,2室1厅,76,东北,18层/中层,142.2,18710元/平米,学区房|花园小区|近海,贝壳,2室1厅 | 76平米 | 东北,2026-04-03 12:09:49,18710.0,1.87,100-150万
吉阳小区 3室1厅 71平米,https://example.com/house/898681,吉阳区,吉阳小区,吉阳区-吉阳小区,3室1厅,71,东南,2层/中层,146.9,20694元/平米,近海|海景房,58同城,3室1厅 | 71平米 | 西南,2026-04-03 12:09:49,20694.0,2.07,100-150万
亚龙湾公主郡 2室1厅 54平米,https://example.com/house/457068,吉阳区,亚龙湾公主郡,吉阳区-亚龙湾公主郡,2室1厅,54,东南,12层/高层,148.5,27507元/平米,急售|学区房,链家,2室1厅 | 54平米 | 北,2026-04-03 12:09:49,27507.0,2.75,100-150万
天涯小镇 2室1厅 105平米,https://example.com/house/373959,天涯区,天涯小镇,天涯区-天涯小镇,2室1厅,105,西,28层/中层,163.6,15578元/平米,近海|精装修|地铁房,贝壳,2室1厅 | 105平米 | 东北,2026-04-03 12:09:49,15578.0,1.56,150-200万
亚龙湾公主郡 2室2厅 106平米,https://example.com/house/677941,吉阳区,亚龙湾公主郡,吉阳区-亚龙湾公主郡,2室2厅,106,东北,27层/中层,163.9,15465元/平米,海景房|近海|急售,贝壳,2室2厅 | 106平米 | 南,2026-04-03 12:09:49,15465.0,1.55,150-200万
亚龙湾公主郡 3室1厅 101平米,https://example.com/house/247823,吉阳区,亚龙湾公主郡,吉阳区-亚龙湾公主郡,3室1厅,101,东南,10层/高层,174.1,17240元/平米,急售|学区房,安居客,3室1厅 | 101平米 | 西,2026-04-03 12:09:49,17240.0,1.72,150-200万
西岛渔村 3室2厅 84平米,https://example.com/house/578366,天涯区,西岛渔村,天涯区-西岛渔村,3室2厅,84,东北,12层/低层,176.5,21017元/平米,近海|地铁房,贝壳,3室2厅 | 84平米 | 西南,2026-04-03 12:09:49,21017.0,2.1,150-200万
西岛渔村 1室1厅 52平米,https://example.com/house/715542,天涯区,西岛渔村,天涯区-西岛渔村,1室1厅,52,东南,16层/低层,181.1,34827元/平米,学区房|海景房,安居客,1室1厅 | 52平米 | 北,2026-04-03 12:09:49,34827.0,3.48,150-200万
马岭社区 3室2厅 99平米,https://example.com/house/747666,天涯区,马岭社区,天涯区-马岭社区,3室2厅,99,南北,25层/高层,185.8,18772元/平米,近海|学区房,贝壳,3室2厅 | 99平米 | 北,2026-04-03 12:09:49,18772.0,1.88,150-200万
马岭社区 4室2厅 65平米,https://example.com/house/874026,天涯区,马岭社区,天涯区-马岭社区,4室2厅,65,东北,16层/中层,187.1,28785元/平米,学区房|花园小区,58同城,4室2厅 | 65平米 | 东北,2026-04-03 12:09:49,28785.0,2.88,150-200万
海棠湾一号 2室1厅 99平米,https://example.com/house/483323,吉阳区,海棠湾一号,吉阳区-海棠湾一号,2室1厅,99,南北,1层/高层,188.7,19065元/平米,急售,链家,2室1厅 | 99平米 | 西南,2026-04-03 12:09:49,19065.0,1.91,150-200万
吉阳小区 2室2厅 81平米,https://example.com/house/738578,吉阳区,吉阳小区,吉阳区-吉阳小区,2室2厅,81,北,21层/高层,193.4,23872元/平米,急售|地铁房|满五唯一,链家,2室2厅 | 81平米 | 西南,2026-04-03 12:09:49,23872.0,2.39,150-200万
三亚湾红树林 1室1厅 97平米,https://example.com/house/472587,吉阳区,三亚湾红树林,吉阳区-三亚湾红树林,1室1厅,97,北,10层/中层,198.7,20482元/平米,急售,58同城,1室1厅 | 97平米 | 南,2026-04-03 12:09:49,20482.0,2.05,150-200万
